argument_id,attorney_name,firm,side,role,source
2014-0285,Kevin M. Truland,"McLane Middleton, Professional Association",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0285,Donald L. Smith,"Devine, Millimet & Branch, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0285,Naomi L. Getman,"Getman, Stacey, Schulthess & Steere, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0342,Christopher T. Meier,"Cooper Cargill Chant, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0342,Paul M. Monzione,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0402,Christopher E. Grant,"Boynton, Waldron, Doleac, Woodman & Scott, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0402,Donald L. Smith,"Devine, Millimet & Branch, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0402,Bradley M. Lown,"Coughlin, Rainboth, Murphy & Lown, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0653,John J. McCormack,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0653,Michael D. Hulser,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0028,John S. Krupski,"Milner & Krupski, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0028,Carolyn M. Kirby,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0071,Susan P. McGinnis,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0071,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0081,Christopher J. Poulin,"Getman, Stacey, Schulthess & Steere, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0224,Lawrence M. Edelman,Pierce Atwood LLP,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0224,"Thomas Morgan, Jr.",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0312,Edward M. Kaplan,"Sulloway & Hollis, P.L.L.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0312,Glenn R. Milner,"Milner & Krupski, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0327,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
