source_file_key,source_type,docket_numbers,source_url,match_method,confidence,review_status
2001-144,opinion,"[""2001-144""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002094stickney.pdf,source_case_number_and_caption,high,generated
2000-634,opinion,"[""2000-634""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002093lebaron.pdf,source_case_number_and_caption,high,generated
2000-285,opinion,"[""2000-285""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002089currier.pdf,source_case_number_and_caption,high,generated
2001-392,opinion,"[""2001-392""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002091gifford.pdf,source_case_number_and_caption,high,generated
2001-223,opinion,"[""2001-223""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002090foss.pdf,source_case_number_and_caption,high,generated
2000-191,opinion,"[""2000-191""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002087brotherhood.pdf,source_case_number_and_caption,high,generated
2000-081,opinion,"[""2000-081""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002086telgener.pdf,source_case_number_and_caption,high,generated
2002-0210,opinion,"[""2002-0210""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002085burlingsummary.pdf,source_case_number_and_caption,high,generated
2000-834,opinion,"[""2000-834""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002084magoon.pdf,source_case_number_and_caption,high,generated
2001-084,opinion,"[""2001-084""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002082effingham.pdf,source_case_number_and_caption,high,generated
2001-107,opinion,"[""2001-107""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002083advocate.pdf,source_case_number_and_caption,high,generated
2001-192,opinion,"[""2001-192""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002080gilmore.pdf,source_case_number_and_caption,high,generated
2001-023,opinion,"[""2001-023""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002079wegner.pdf,source_case_number_and_caption,high,generated
2001-401,opinion,"[""2001-401""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002081jordan.pdf,source_case_number_and_caption,high,generated
2000-762,opinion,"[""2000-762""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002076berry.pdf,source_case_number_and_caption,high,generated
2001-106,opinion,"[""2001-106""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002078harrington.pdf,source_case_number_and_caption,high,generated
2001-082,opinion,"[""2001-082""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002077malnati.pdf,source_case_number_and_caption,high,generated
2001-352,opinion,"[""2001-352""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002075mccooey.pdf,source_case_number_and_caption,high,generated
2001-320,opinion,"[""2001-320""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002074adam.pdf,source_case_number_and_caption,high,generated
2000-462,opinion,"[""2000-462""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002071smalley.pdf,source_case_number_and_caption,high,generated
2000-573,opinion,"[""2000-573""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002072starr.pdf,source_case_number_and_caption,high,generated
2000-329,opinion,"[""2000-329""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002070milton.pdf,source_case_number_and_caption,high,generated
2001-262,opinion,"[""2001-262""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002068roache.pdf,source_case_number_and_caption,high,generated
2001-138,opinion,"[""2001-138""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002066metcalf.pdf,source_case_number_and_caption,high,generated
2001-441,opinion,"[""2001-441""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002067rodgers.pdf,source_case_number_and_caption,high,generated
2001-019,opinion,"[""2001-019""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002063randall.pdf,source_case_number_and_caption,high,generated
2002-0243,opinion,"[""2002-0243""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002065clifton.pdf,source_case_number_and_caption,high,generated
2001-076,opinion,"[""2001-076""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002064blackstock.pdf,source_case_number_and_caption,high,generated
2000-795,opinion,"[""2000-795""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002061nyhan.pdf,source_case_number_and_caption,high,generated
2001-729,opinion,"[""2001-729""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002062babygirl.pdf,source_case_number_and_caption,high,generated
2001-088,opinion,"[""2001-088""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002060pierson.pdf,source_case_number_and_caption,high,generated
2000-263,opinion,"[""2000-263""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002057lanoue.pdf,source_case_number_and_caption,high,generated
2000-824,opinion,"[""2000-824""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002059herman.pdf,source_case_number_and_caption,high,generated
2000-673,opinion,"[""2000-673""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002058auger.pdf,source_case_number_and_caption,high,generated
2000-387,opinion,"[""2000-387""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002054stanton.pdf,source_case_number_and_caption,high,generated
2000-748,opinion,"[""2000-748""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002056craig.pdf,source_case_number_and_caption,high,generated
2000-670,opinion,"[""2000-670""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002055cricklewood.pdf,source_case_number_and_caption,high,generated
2001-489,opinion,"[""2001-489""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-09/2002053northeast.pdf,source_case_number_and_caption,high,generated
