argument_id,disposition_id,disposition_type,link_method,link_confidence,is_final_disposition
2017-0512,2017-0512,opinion,docket_match,high,True
2017-0530,2017-0530,3jx_order,docket_match,high,True
2017-0567,2017-0567,3jx_order,docket_match,high,True
2017-0630,2017-0630,3jx_order,docket_match,high,True
2017-0387,2017-0387,opinion,docket_match,high,True
2017-0413,2017-0413,opinion,docket_match,high,True
2017-0443,2017-0443,opinion,docket_match,high,True
2017-0595,2017-0595,opinion,docket_match,high,True
2017-0673,2017-0673,opinion,docket_match,high,True
2015-0010,2015-0010,3jx_order,docket_match,high,True
2017-0288,2017-0288,3jx_order,docket_match,high,True
2015-0687,2015-0687,opinion,docket_match,high,True
2016-0577,2016-0577,opinion,docket_match,high,True
2017-0559,2017-0559,opinion,docket_match,high,True
2017-0439,2017-0439,case_order,docket_match,high,True
2017-0598,2017-0598,3jx_order,docket_match,high,True
2017-0557,2017-0557,opinion,docket_match,high,True
2017-0599,2017-0599,opinion,docket_match,high,True
2017-0634,2017-0634,opinion,docket_match,high,True
2017-0665,2017-0665,opinion,docket_match,high,True
2017-0717,2017-0717,opinion,docket_match,high,True
2018-0139,2018-0139,opinion,docket_match,high,True
2017-0569,2017-0569,opinion,docket_match,high,True
2017-0658,2017-0658,opinion,docket_match,high,True
2017-0682,2017-0682,opinion,docket_match,high,True
2017-0729,2017-0729,opinion,docket_match,high,True
2018-0006,2018-0006,opinion,docket_match,high,True
2018-0060,2018-0060,opinion,docket_match,high,True
2017-0480,2017-0480,3jx_order,docket_match,high,True
2017-0713,2017-0713,3jx_order,docket_match,high,True
2018-0076,2018-0076,3jx_order,docket_match,high,True
2017-0425,2017-0425,opinion,docket_match,high,True
2017-0692,2017-0692,opinion,docket_match,high,True
2016-0429,2016-0429,case_order,docket_match,high,True
2016-0701,2016-0701,opinion,docket_match,high,True
2018-0035,2018-0035,opinion,docket_match,high,True
2018-0061,2018-0061,opinion,docket_match,high,True
2018-0092,2018-0092,opinion,docket_match,high,True
2018-0166,2018-0166,case_order,docket_match,high,True
2017-0420,2017-0420,3jx_order,docket_match,high,True
2017-0624,2017-0624,3jx_order,docket_match,high,True
2017-0712,2017-0712,opinion,docket_match,high,True
2017-0414,2017-0414,case_order,docket_match,high,True
2017-0459,2017-0459,case_order,docket_match,high,True
2017-0714,2017-0714,opinion,docket_match,high,True
2018-0025,2018-0025,opinion,docket_match,high,True
2018-0138,2018-0138,case_order,docket_match,high,True
2018-0208,2018-0208,opinion,docket_match,high,True
2017-0265,2017-0265,opinion,docket_match,high,True
2017-0632,2017-0632,opinion,docket_match,high,True
2018-0094,2018-0094,opinion,docket_match,high,True
2018-0136,2018-0136,opinion,docket_match,high,True
2017-0329,2017-0329,3jx_order,docket_match,high,True
2018-0217,2018-0217,opinion,docket_match,high,True
2017-0708,2017-0708,3jx_order,docket_match,high,True
2018-0068,2018-0068,opinion,docket_match,high,True
2018-0308,2018-0308,3jx_order,docket_match,high,True
2017-0674,2017-0674,opinion,docket_match,high,True
2017-0697,2017-0697,opinion,docket_match,high,True
2018-0029,2018-0029,opinion,docket_match,high,True
2018-0047,2018-0047,opinion,docket_match,high,True
2018-0031,2018-0031,opinion,docket_match,high,True
2018-0096,2018-0096,opinion,docket_match,high,True
2017-0693,2017-0693,opinion,docket_match,high,True
2018-0198,2018-0198,opinion,docket_match,high,True
2018-0309,2018-0309,opinion,docket_match,high,True
2017-0687,2017-0687,opinion,docket_match,high,True
2018-0145,2018-0145,case_order,docket_match,high,True
2018-0268,2018-0268,opinion,docket_match,high,True
2018-0013,2018-0013,opinion,docket_match,high,True
2018-0182,2018-0182,opinion,docket_match,high,True
2018-0239,2018-0239,case_order,docket_match,high,True
2017-0721,2017-0721,case_order,docket_match,high,True
2018-0222,2018-0222,opinion,docket_match,high,True
2018-0425,2018-0425,opinion,docket_match,high,True
2018-0151,2018-0151,3jx_order,docket_match,high,True
2018-0118,2018-0118,opinion,docket_match,high,True
2018-0172,2018-0172,opinion,docket_match,high,True
2018-0244,2018-0244,case_order,docket_match,high,True
2018-0154,2018-0154,case_order,docket_match,high,True
2018-0296,2018-0296,opinion,docket_match,high,True
